house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale,energy_certificate
15563,3.0,APARTMENT,APARTMENT,Blankenberge,8370,Zeedijk,224,,0.0,,585000.0,0.0,1.0,,0.0,0.0,AS_NEW,0.0,0.0,0.0,,98.0,,,B
15565,2.0,APARTMENT,APARTMENT,Knokke-Zoute,8300,Leopoldlaan,70,3.1,1.0,3.0,595000.0,1.0,0.0,0.0,0.0,0.0,GOOD,0.0,0.0,0.0,,,,,B
15567,3.0,APARTMENT,APARTMENT,Knokke-Heist,8300,Zonnelaan,26,01,0.0,,669000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,,96.0,,,C
15569,3.0,APARTMENT,APARTMENT,Brussel,1000,Quai Des Péniches - Akenkaai,69,28,1.0,,725000.0,0.0,1.0,12.0,0.0,0.0,AS_NEW,1.0,350.0,0.0,,,,,A
15570,2.0,APARTMENT,DUPLEX,Knokke-Heist,8300,Duinenwater,35,32,0.0,,725000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,,77.0,,,
15571,2.0,APARTMENT,APARTMENT,Knokke-Heist,8300,Zeerobbenlaan,7,21,0.0,,795000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,91.0,,,B
15573,2.0,APARTMENT,APARTMENT,Knokke-Heist,8301,Zeedijk-Heist,306,1B,1.0,2.0,950000.0,1.0,1.0,4.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,0.0,,,,,B
15574,2.0,APARTMENT,APARTMENT,Duinbergen,8301,Zeedijk-Duinbergen,312,31,0.0,,995000.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,,86.0,,,A
15577,2.0,APARTMENT,APARTMENT,Anderlecht,1070,Sylvain Dupuislaan,306,D6,1.0,4.0,234000.0,0.0,1.0,5.0,0.0,0.0,GOOD,0.0,0.0,0.0,,105.0,,,F
15578,3.0,HOUSE,HOUSE,Sint-Katelijne-Waver,2860,Vossenberglei,48,,1.0,3.0,475000.0,0.0,1.0,,0.0,0.0,GOOD,0.0,0.0,0.0,629.0,145.0,629.0,UnderOption,B
